"Hot Spots - Method","Self time [%]","Self time","Invocations"
"org.eclipse.jetty.util.BlockingArrayQueue.poll(long, java.util.concurrent.TimeUnit)","34.66343","700464.405 ms","23033"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run()","33.884388","684721.885 ms","4"
"org.apache.cassandra.service.GCInspector.logGCResults()","9.513353","192241.965 ms","792"
"java.util.concurrent.ThreadPoolExecutor$Worker.run()","5.9384146","120001.061 ms","2"
"sbt.ConsoleLogger.log(String, String, String, String)","4.619077","93340.432 ms","1235116"
"org.apache.thrift.transport.TIOStreamTransport.read(byte[], int, int)","1.0049791","20308.209 ms","50898"
"com.github.siasia.LoggerBase.com$github$siasia$LoggerBase$$format(String, scala.collection.Seq)","0.6705893","13550.996 ms","1235108"
"cc.spray.http.HttpIp$.fromString(String)","0.38880214","7856.755 ms","137230"
"org.parboiled.parserunners.BasicParseRunner.match(org.parboiled.MatcherContext)","0.30399856","6143.079 ms","33025603"
"scala.collection.TraversableOnce$class.toList(scala.collection.TraversableOnce)","0.30094668","6081.408 ms","5076287"
"cc.spray.connectors.ConnectorServlet.handleTimeout(javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse, scala.Function0)","0.2989184","6040.421 ms","8"
"akka.dispatch.ExecutorServiceDelegate$class.execute(akka.dispatch.ExecutorServiceDelegate, Runnable)","0.27601764","5577.652 ms","189211"
"org.eclipse.jetty.server.handler.ContextHandler.toString()","0.2705262","5466.683 ms","274452"
"org.eclipse.jetty.server.HttpConnection.handleRequest()","0.24192724","4888.767 ms","273961"
"org.parboiled.matchers.SequenceMatcher.match(org.parboiled.MatcherContext)","0.22959623","4639.587 ms","5619087"
"org.parboiled.MatcherContext.getSubContext(org.parboiled.matchers.Matcher)","0.21041003","4251.88 ms","30832097"
"org.eclipse.jetty.io.nio.SelectorManager$SelectSet.wakeup()","0.18089281","3655.408 ms","137435"
"org.parboiled.MatcherContext.runMatcher()","0.1360029","2748.291 ms","33025927"
"org.parboiled.matchers.AbstractMatcher.getSubContext(org.parboiled.MatcherContext)","0.12174127","2460.098 ms","30832104"
"org.eclipse.jetty.http.HttpParser.parseNext()","0.11904041","2405.52 ms","139870"
"cc.spray.http.HttpHeader.<init>()","0.1170902","2366.111 ms","548464"
"org.eclipse.jetty.io.AbstractConnection.toString()","0.10713577","2164.956 ms","273509"
"org.parboiled.MatcherContext.getBasicSubContext()","0.09429159","1905.406 ms","32614243"
"cc.spray.connectors.ConnectorServlet.httpRequest(javax.servlet.http.HttpServletRequest)","0.093832806","1896.135 ms","137234"
"org.apache.thrift.transport.TIOStreamTransport.write(byte[], int, int)","0.09297372","1878.775 ms","50898"
"org.eclipse.jetty.server.handler.ContextHandler.doScope(String, org.eclipse.jetty.server.Request, javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse)","0.082799174","1673.172 ms","137226"
"org.parboiled.matchers.FirstOfMatcher.match(org.parboiled.MatcherContext)","0.082756765","1672.315 ms","3288457"
"org.parboiled.scala.rules.Rule$$anonfun$exec$1.apply(org.parboiled.Context)","0.08056002","1627.924 ms","1370474"
"org.parboiled.matchers.TestNotMatcher.match(org.parboiled.MatcherContext)","0.07871764","1590.694 ms","5753520"
"org.slf4j.helpers.MessageFormatter.arrayFormat(String, Object[])","0.0772622","1561.283 ms","144945"
"org.eclipse.jetty.io.nio.ChannelEndPoint.gatheringFlush(org.eclipse.jetty.io.Buffer, java.nio.ByteBuffer, org.eclipse.jetty.io.Buffer, java.nio.ByteBuffer)","0.07497474","1515.059 ms","25491"
"org.eclipse.jetty.io.nio.ChannelEndPoint.getRemoteAddr()","0.074964896","1514.86 ms","411076"
"org.eclipse.jetty.util.Scanner.scanFile(java.io.File, java.util.Map, int)","0.07467371","1508.976 ms","11840"
"cc.spray.utils.EventHandlerLog$$anonfun$debug$1.apply()","0.07385066","1492.344 ms","26001"
"org.eclipse.jetty.util.component.AbstractLifeCycle.toString()","0.07220172","1459.023 ms","137228"
"org.eclipse.jetty.server.AsyncHttpConnection.handle()","0.07154682","1445.789 ms","137102"
"org.parboiled.common.ImmutableLinkedList.nil()","0.07043417","1423.305 ms","34396882"
"org.eclipse.jetty.io.nio.ChannelEndPoint.getLocalAddr()","0.069659166","1407.644 ms","273509"
"org.parboiled.MatcherContext.setCurrentIndex(int)","0.059048053","1193.219 ms","7398448"
"sbt.MultiLogger.dispatch(sbt.LogEvent)","0.058279827","1177.695 ms","1235124"
"org.eclipse.jetty.server.session.SessionHandler.doScope(String, org.eclipse.jetty.server.Request, javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse)","0.055710744","1125.78 ms","137226"
"org.parboiled.common.ImmutableList$RegularList.get(int)","0.05513027","1114.05 ms","21240621"
